0	-1	-153.914	
-0.00107688	-1.15367	-153.427	
-0.00230718	-1.30685	-152.916	
-0.0036904	-1.4595	-152.381	
-0.00522599	-1.6116	-151.821	
-0.00691341	-1.76313	-151.236	
-0.00875205	-1.91406	-150.627	
-0.0107413	-2.06438	-149.994	
-0.0128806	-2.21404	-149.337	
-0.0151692	-2.36304	-148.656	
-0.0176064	-2.51135	-147.952	
-0.0201916	-2.65894	-147.224	
-0.0229241	-2.80579	-146.473	
-0.025803	-2.95188	-145.698	
-0.0288276	-3.09718	-144.901	
-0.0319971	-3.24167	-144.08	
-0.0353106	-3.38533	-143.238	
-0.0387674	-3.52814	-142.372	
-0.0423666	-3.67007	-141.485	
-0.0461073	-3.8111	-140.575	
-0.0499885	-3.95121	-139.643	
-0.0540094	-4.09038	-138.69	
-0.0581689	-4.22858	-137.715	
-0.0624662	-4.3658	-136.719	
-0.0669002	-4.50201	-135.702	
-0.0714699	-4.6372	-134.664	
-0.0761743	-4.77133	-133.605	
-0.0810122	-4.9044	-132.526	
-0.0859827	-5.03638	-131.426	
-0.0910846	-5.16725	-130.307	
-0.0963168	-5.29699	-129.168	
-0.101678	-5.42558	-128.009	
-0.107168	-5.553	-126.831	
-0.112784	-5.67923	-125.633	
-0.118526	-5.80426	-124.417	
-0.124392	-5.92806	-123.183	
-0.130381	-6.05062	-121.929	
-0.136493	-6.17191	-120.658	
-0.142725	-6.29193	-119.369	
-0.149076	-6.41064	-118.062	
-0.155546	-6.52805	-116.738	
-0.162132	-6.64411	-115.396	
-0.168833	-6.75883	-114.038	
-0.175649	-6.87219	-112.663	
-0.182577	-6.98415	-111.272	
-0.189617	-7.09472	-109.864	
-0.196766	-7.20388	-108.441	
-0.204024	-7.3116	-107.002	
-0.211389	-7.41788	-105.548	
-0.218859	-7.52269	-104.078	
-0.226434	-7.62603	-102.594	
-0.234111	-7.72787	-101.096	
-0.241889	-7.82822	-99.5831	
-0.249767	-7.92704	-98.0564	
-0.257743	-8.02432	-96.516	
-0.265815	-8.12006	-94.9623	
-0.273982	-8.21424	-93.3954	
-0.282243	-8.30685	-91.8157	
-0.290595	-8.39787	-90.2235	
-0.299038	-8.48729	-88.6191	
-0.307569	-8.5751	-87.0027	
-0.316188	-8.66129	-85.3747	
-0.324892	-8.74585	-83.7353	
